Category,Subcategory,Algorithm,Year Introduced,Original Paper / Author,Complexity (Low/Med/High),Best Use Case,Implementation Done (Y/N),Lab Created (Y/N),Notes,Blog URL
Supervised Learning,Classification,Nearest Centroid,1936,Rocchio-style centroid methods,Low,Baseline text / simple classification,,,,
Supervised Learning,Classification,Perceptron,1957,Rosenblatt,Low,Linear classification,,,,
Supervised Learning,Classification,Linear Discriminant Analysis,1936,Fisher,Low,Class separation with Gaussian assumptions,,,,
Supervised Learning,Classification,Quadratic Discriminant Analysis,1950,Discriminant analysis,Medium,Nonlinear Gaussian boundaries,,,,
Supervised Learning,Classification,Naive Bayes,1950,Bayesian classifier family,Low,Simple probabilistic classification,,,,
Supervised Learning,Classification,Gaussian Naive Bayes,1960,Naive Bayes variant,Low,Continuous features,,,,
Supervised Learning,Classification,Multinomial Naive Bayes,1998,Text classification literature,Low,NLP / count features,,,,
Supervised Learning,Classification,Bernoulli Naive Bayes,2000,Binary event modeling,Low,Binary text features,,,,
Supervised Learning,Classification,Complement Naive Bayes,2003,Rennie et al.,Low,Imbalanced text classification,,,,
Supervised Learning,Classification,Support Vector Machine,1995,Cortes & Vapnik,Medium,High-dimensional classification,,,,
Supervised Learning,Classification,One-Class SVM,2001,Schölkopf et al.,Medium,Novelty detection,,,,
Supervised Learning,Classification,Decision Tree Classifier,1984,Breiman – CART,Low,Explainable classification,,,,
Supervised Learning,Classification,Random Forest Classifier,2001,Breiman,Medium,Tabular ML,,,,
Supervised Learning,Classification,Extra Trees Classifier,2006,Geurts et al.,Medium,Fast ensemble trees,,,,
Supervised Learning,Classification,AdaBoost,1995,Freund & Schapire,Medium,Boosted weak learners,,,,
Supervised Learning,Classification,Gradient Boosting Classifier,1999,Friedman,High,Strong tabular baseline,,,,
Supervised Learning,Classification,Bagging Classifier,1996,Breiman,Medium,Variance reduction,,,,
Supervised Learning,Classification,Stacking,1992,Wolpert,High,Meta-ensemble learning,,,,
Supervised Learning,Classification,Voting Classifier,1990,Ensemble methods,Low,Combining multiple models,,,,
Supervised Learning,Classification,RuleFit,2008,Friedman & Popescu,Medium,Interpretable rule-based prediction,,,,
Supervised Learning,Classification,RIPPER,1995,Cohen,Medium,Rule learning,,,,
Supervised Learning,Classification,PART,1998,Frank & Witten,Medium,Interpretable rules,,,,
Supervised Learning,Classification,Winnow,1988,Littlestone,Low,Sparse binary features,,,,
Supervised Learning,Classification,Passive Aggressive Classifier,2006,Crammer et al.,Medium,Online learning,,,,
Supervised Learning,Classification,Label Propagation,2002,Zhu & Ghahramani,Medium,Semi-supervised graph labeling,,,,
Supervised Learning,Classification,Label Spreading,2004,Zhou et al.,Medium,Semi-supervised classification,,,,
Supervised Learning,Classification,Calibrated Classifier,2005,Platt / isotonic calibration,Low,Probability calibration,,,,
Supervised Learning,Ranking,RankNet,2005,Burges et al.,High,Learning to rank,,,,
Supervised Learning,Ranking,LambdaMART,2010,Burges,High,Search ranking,,,,
Supervised Learning,Structured Prediction,Conditional Random Field,2001,Lafferty et al.,High,Sequence labeling,,,,
Supervised Learning,Structured Prediction,Structured SVM,2004,Tsochantaridis et al.,High,Structured outputs,,,,
Supervised Learning,Structured Prediction,Hidden Markov Model (supervised use),1960,Baum & Welch era,Medium,Sequence prediction,,,,
Unsupervised Learning,Clustering,K-Means,1957,Lloyd,Low,Customer segmentation,,,,
Unsupervised Learning,Clustering,MiniBatch K-Means,2010,Sculley,Low,Large datasets,,,,
Unsupervised Learning,Clustering,K-Medoids,1987,Kaufman & Rousseeuw,Medium,Robust clustering,,,,
Unsupervised Learning,Clustering,Fuzzy C-Means,1973,Dunn / Bezdek,Medium,Soft clustering,,,,
Unsupervised Learning,Clustering,Hierarchical Clustering,1963,Ward,Medium,Taxonomy / hierarchical grouping,,,,
Unsupervised Learning,Clustering,Agglomerative Clustering,1967,Hierarchical methods,Medium,Bottom-up clustering,,,,
Unsupervised Learning,Clustering,BIRCH,1996,Zhang et al.,Medium,Large dataset clustering,,,,
Unsupervised Learning,Clustering,CURE,1998,Guha et al.,High,Non-spherical clusters,,,,
Unsupervised Learning,Clustering,DBSCAN,1996,Ester et al.,Medium,Density-based spatial clusters,,,,
Unsupervised Learning,Clustering,OPTICS,1999,Ankerst et al.,Medium,Variable-density clustering,,,,
Unsupervised Learning,Clustering,HDBSCAN,2013,Campello et al.,Medium,Hierarchical density clustering,,,,
Unsupervised Learning,Clustering,Mean Shift,2002,Comaniciu & Meer,Medium,Mode-seeking clustering,,,,
Unsupervised Learning,Clustering,Affinity Propagation,2007,Frey & Dueck,Medium,Exemplar-based clustering,,,,
Unsupervised Learning,Clustering,Spectral Clustering,2001,"Ng, Jordan, Weiss",High,Graph / manifold clustering,,,,
Unsupervised Learning,Clustering,Gaussian Mixture Model,1960,EM mixture modeling,Medium,Soft probabilistic clustering,,,,
Unsupervised Learning,Clustering,Dirichlet Process Mixture Model,1994,Antoniak / Bayesian nonparametrics,High,Unknown number of clusters,,,,
Unsupervised Learning,Clustering,Self-Organizing Map,1982,Kohonen,Medium,Topology-preserving clustering,,,,
Unsupervised Learning,Clustering,Neural Gas,1991,Martinetz & Schulten,Medium,Prototype-based clustering,,,,
Unsupervised Learning,Clustering,Growing Neural Gas,1995,Fritzke,High,Adaptive topology learning,,,,
Unsupervised Learning,Dimensionality Reduction,PCA,1901,Pearson,Low,Feature compression,,,,
Unsupervised Learning,Dimensionality Reduction,Incremental PCA,2001,Online PCA methods,Medium,Large / streaming data,,,,
Unsupervised Learning,Dimensionality Reduction,Sparse PCA,2003,"Zou, Hastie, Tibshirani",Medium,Interpretable components,,,,
Unsupervised Learning,Dimensionality Reduction,Kernel PCA,1998,Schölkopf,Medium,Nonlinear reduction,,,,
Unsupervised Learning,Dimensionality Reduction,ICA,1994,Comon,Medium,Signal separation,,,,
Unsupervised Learning,Dimensionality Reduction,Factor Analysis,1904,Spearman,Low,Latent factor discovery,,,,
Unsupervised Learning,Dimensionality Reduction,Non-negative Matrix Factorization,1999,Lee & Seung,Medium,Parts-based decomposition,,,,
Unsupervised Learning,Dimensionality Reduction,Truncated SVD,1936,Eckart–Young,Low,Sparse text / embeddings,,,,
Unsupervised Learning,Dimensionality Reduction,Multidimensional Scaling,1958,Torgerson,Medium,Distance-preserving visualization,,,,
Unsupervised Learning,Dimensionality Reduction,Isomap,2000,Tenenbaum et al.,High,Manifold learning,,,,
Unsupervised Learning,Dimensionality Reduction,Locally Linear Embedding,2000,Roweis & Saul,High,Manifold learning,,,,
Unsupervised Learning,Dimensionality Reduction,Laplacian Eigenmaps,2001,Belkin & Niyogi,High,Graph embeddings,,,,
Unsupervised Learning,Dimensionality Reduction,t-SNE,2008,van der Maaten & Hinton,High,Visualization,,,,
Unsupervised Learning,Dimensionality Reduction,UMAP,2018,McInnes et al.,High,Visualization / manifold learning,,,,
Unsupervised Learning,Dimensionality Reduction,Diffusion Maps,2005,Coifman & Lafon,High,Manifold learning,,,,
Unsupervised Learning,Topic Modeling,Latent Semantic Analysis,1988,Deerwester et al.,Medium,Document topics,,,,
Unsupervised Learning,Topic Modeling,Probabilistic Latent Semantic Analysis,1999,Hofmann,High,Probabilistic topic discovery,,,,
Unsupervised Learning,Topic Modeling,Latent Dirichlet Allocation,2003,"Blei, Ng, Jordan",High,Topic modeling,,,,
Unsupervised Learning,Topic Modeling,Hierarchical Dirichlet Process,2006,Teh et al.,High,Flexible topic count,,,,
Unsupervised Learning,Association Rules,Apriori,1994,Agrawal & Srikant,Medium,Market basket analysis,,,,
Unsupervised Learning,Association Rules,FP-Growth,2000,Han et al.,Medium,Frequent pattern mining,,,,
Unsupervised Learning,Association Rules,Eclat,1997,Zaki,Medium,Frequent itemset mining,,,,
Unsupervised Learning,Anomaly Detection,Isolation Forest,2008,Liu et al.,Medium,Outlier detection,,,,
Unsupervised Learning,Anomaly Detection,Local Outlier Factor,2000,Breunig et al.,Medium,Density-based anomalies,,,,
Unsupervised Learning,Anomaly Detection,Elliptic Envelope,1999,Robust covariance methods,Medium,Gaussian outlier detection,,,,
Unsupervised Learning,Anomaly Detection,One-Class SVM,2001,Schölkopf et al.,Medium,Novelty detection,,,,
Unsupervised Learning,Anomaly Detection,COPOD,2020,Li et al.,Medium,Parameter-free outlier detection,,,,
Unsupervised Learning,Anomaly Detection,ECOD,2022,Li et al.,Medium,Explainable outlier detection,,,,
Unsupervised Learning,Anomaly Detection,Autoencoder-based Anomaly Detection,2016,Deep anomaly detection literature,High,Reconstruction-based anomalies,,,,
Probabilistic & Bayesian,Probabilistic Models,Bayesian Network,1985,Pearl,High,Causal / probabilistic reasoning,,,,
Probabilistic & Bayesian,Probabilistic Models,Dynamic Bayesian Network,1997,Murphy,High,Temporal probabilistic models,,,,
Probabilistic & Bayesian,Probabilistic Models,Markov Random Field,1974,Kindermann & Snell era,High,Undirected probabilistic structure,,,,
Probabilistic & Bayesian,Probabilistic Models,Hidden Markov Model,1960,Baum / Welch,Medium,Sequential latent states,,,,
Probabilistic & Bayesian,Probabilistic Models,Kalman Filter,1960,Kalman,Medium,State estimation,,,,
Probabilistic & Bayesian,Probabilistic Models,Extended Kalman Filter,1960,Nonlinear Kalman filtering,Medium,Nonlinear state estimation,,,,
Probabilistic & Bayesian,Probabilistic Models,Unscented Kalman Filter,1997,Julier & Uhlmann,Medium,Nonlinear state estimation,,,,
Probabilistic & Bayesian,Probabilistic Models,Particle Filter,1993,Sequential Monte Carlo,High,Nonlinear / non-Gaussian state tracking,,,,
Probabilistic & Bayesian,Probabilistic Models,Expectation Maximization,1977,"Dempster, Laird, Rubin",Medium,Latent variable estimation,,,,
Probabilistic & Bayesian,Bayesian Classification,Bayesian Logistic Regression,1992,Bayesian GLM literature,Medium,Uncertainty-aware classification,,,,
Probabilistic & Bayesian,Bayesian Classification,Relevance Vector Machine,2001,Tipping,High,Sparse Bayesian prediction,,,,
Probabilistic & Bayesian,Bayesian Nonparametrics,Gaussian Process Classification,1998,Williams & Barber,High,"Small data, uncertainty",,,,
Probabilistic & Bayesian,Bayesian Nonparametrics,Chinese Restaurant Process,1997,Pitman / Aldous,High,Clustering priors,,,,
Probabilistic & Bayesian,Bayesian Nonparametrics,Indian Buffet Process,2005,Griffiths & Ghahramani,High,Latent feature priors,,,,
Time Series & Forecasting,Classical Forecasting,AR,1927,Yule,Low,Autoregressive forecasting,,,,
Time Series & Forecasting,Classical Forecasting,MA,1931,Slutsky,Low,Moving average processes,,,,
Time Series & Forecasting,Classical Forecasting,ARMA,1938,Wold,Low,Stationary time series,,,,
Time Series & Forecasting,Classical Forecasting,ARIMA,1970,Box & Jenkins,Medium,General time series forecasting,,,,
Time Series & Forecasting,Classical Forecasting,SARIMA,1976,Seasonal Box-Jenkins,Medium,Seasonal forecasting,,,,
Time Series & Forecasting,Classical Forecasting,VAR,1980,Sims,Medium,Multivariate time series,,,,
Time Series & Forecasting,Classical Forecasting,VARMA,1980,Multivariate time series literature,High,Multivariate forecasting,,,,
Time Series & Forecasting,Classical Forecasting,ARCH,1982,Engle,Medium,Volatility modeling,,,,
Time Series & Forecasting,Classical Forecasting,GARCH,1986,Bollerslev,Medium,Financial volatility,,,,
Time Series & Forecasting,Classical Forecasting,Exponential Smoothing,1957,Brown / Holt,Low,Forecasting with trends,,,,
Time Series & Forecasting,Classical Forecasting,Holt-Winters,1960,Holt / Winters,Low,Seasonal forecasting,,,,
Time Series & Forecasting,Classical Forecasting,State Space Model,1960,Kalman / Durbin & Koopman,High,General time series,,,,
Time Series & Forecasting,Prophet-style Models,Prophet,2017,Facebook,Low,Business forecasting,,,,
Time Series & Forecasting,Machine Learning Forecasting,Random Forest for Forecasting,2001,Breiman,Medium,Tabularized time series,,,,
Time Series & Forecasting,Machine Learning Forecasting,Gradient Boosting for Forecasting,1999,Friedman,High,Feature-based forecasting,,,,
Time Series & Forecasting,Deep Time Series,DeepAR,2017,Amazon,High,Probabilistic forecasting,,,,
Time Series & Forecasting,Deep Time Series,N-BEATS,2019,Oreshkin et al.,High,Univariate forecasting,,,,
Time Series & Forecasting,Deep Time Series,Temporal Fusion Transformer,2020,Lim et al.,High,Multi-horizon forecasting,,,,
Deep Learning,Feedforward Networks,Multilayer Perceptron,1986,Rumelhart et al.,Medium,General ML,,,,
Deep Learning,Convolutional Networks,LeNet,1998,LeCun et al.,High,Image classification,,,,
Deep Learning,Convolutional Networks,AlexNet,2012,Krizhevsky et al.,High,Image classification,,,,
Deep Learning,Convolutional Networks,VGG,2014,Simonyan & Zisserman,High,Vision baselines,,,,
Deep Learning,Convolutional Networks,GoogLeNet / Inception,2014,Szegedy et al.,High,Efficient vision,,,,
Deep Learning,Convolutional Networks,ResNet,2015,He et al.,High,Deep vision models,,,,
Deep Learning,Convolutional Networks,ResNeXt,2017,Xie et al.,High,Grouped convolution vision,,,,
Deep Learning,Convolutional Networks,DenseNet,2017,Huang et al.,High,Feature reuse in vision,,,,
Deep Learning,Convolutional Networks,MobileNet,2017,Howard et al.,High,Mobile vision,,,,
Deep Learning,Convolutional Networks,EfficientNet,2019,Tan & Le,High,Scaled image models,,,,
Deep Learning,Convolutional Networks,ConvNeXt,2022,Liu et al.,High,Modern CNN,,,,
Deep Learning,Convolutional Networks,U-Net,2015,Ronneberger et al.,High,Image segmentation,,,,
Deep Learning,Convolutional Networks,Mask R-CNN,2017,He et al.,High,Instance segmentation,,,,
Deep Learning,Sequence Models,Recurrent Neural Network,1986,Elman,High,Sequential data,,,,
Deep Learning,Sequence Models,LSTM,1997,Hochreiter & Schmidhuber,High,Long sequences,,,,
Deep Learning,Sequence Models,GRU,2014,Cho et al.,High,Sequence modeling,,,,
Deep Learning,Sequence Models,BiLSTM,1997,Bidirectional recurrent models,High,Sequence labeling,,,,
Deep Learning,Sequence Models,Seq2Seq,2014,Sutskever et al.,High,Translation / sequence transduction,,,,
Deep Learning,Sequence Models,Attention Mechanism,2014,Bahdanau et al.,High,Alignment in seq2seq,,,,
Deep Learning,Transformers,Transformer,2017,Vaswani et al.,High,LLMs / NLP,,,,
Deep Learning,Transformers,BERT,2018,Devlin et al.,High,Language understanding,,,,
Deep Learning,Transformers,RoBERTa,2019,Liu et al.,High,Improved masked language modeling,,,,
Deep Learning,Transformers,ALBERT,2019,Lan et al.,High,Parameter-efficient NLP,,,,
Deep Learning,Transformers,DistilBERT,2019,Sanh et al.,High,Smaller NLP models,,,,
Deep Learning,Transformers,GPT,2018,OpenAI,High,Autoregressive language modeling,,,,
Deep Learning,Transformers,T5,2019,Raffel et al.,High,Text-to-text learning,,,,
Deep Learning,Transformers,Vision Transformer,2020,Dosovitskiy et al.,High,Vision transformers,,,,
Deep Learning,Transformers,Swin Transformer,2021,Liu et al.,High,Hierarchical vision transformer,,,,
Deep Learning,Transformers,Perceiver,2021,Jaegle et al.,High,Multi-modal inputs,,,,
Deep Learning,Metric Learning,Siamese Network,1993,Bromley et al.,High,Similarity learning,,,,
Deep Learning,Metric Learning,Triplet Network / Triplet Loss,2015,FaceNet / Schroff et al.,High,Embedding learning,,,,
Deep Learning,Representation Learning,Autoencoder,1986,Rumelhart / Hinton era,Medium,Compression / representation,,,,
Deep Learning,Representation Learning,Denoising Autoencoder,2008,Vincent et al.,Medium,Robust representations,,,,
Deep Learning,Representation Learning,Sparse Autoencoder,2007,Ng et al.,Medium,Feature learning,,,,
Deep Learning,Representation Learning,Contractive Autoencoder,2011,Rifai et al.,High,Robust latent representations,,,,
Deep Learning,Other Architectures,Radial Basis Function Network,1988,Broomhead & Lowe,Medium,Function approximation,,,,
Deep Learning,Other Architectures,Hopfield Network,1982,Hopfield,Medium,Associative memory,,,,
Deep Learning,Other Architectures,Boltzmann Machine,1985,"Ackley, Hinton, Sejnowski",High,Energy-based models,,,,
Deep Learning,Other Architectures,Restricted Boltzmann Machine,1986,Smolensky / Hinton,High,Unsupervised pretraining,,,,
Deep Learning,Other Architectures,Deep Belief Network,2006,Hinton et al.,High,Layer-wise pretraining,,,,
Deep Learning,Other Architectures,Echo State Network,2001,Jaeger,High,Reservoir computing,,,,
Deep Learning,Other Architectures,Liquid State Machine,2002,Maass et al.,High,Reservoir computing,,,,
Deep Learning,Other Architectures,Capsule Network,2017,Sabour et al.,High,Part-whole representation,,,,
Deep Learning,Self-Supervised Learning,Word2Vec,2013,Mikolov et al.,Medium,Word embeddings,,,,
Deep Learning,Self-Supervised Learning,GloVe,2014,Pennington et al.,Medium,Word embeddings,,,,
Deep Learning,Self-Supervised Learning,Doc2Vec,2014,Le & Mikolov,Medium,Document embeddings,,,,
Deep Learning,Self-Supervised Learning,FastText,2016,Bojanowski et al.,Medium,Subword embeddings,,,,
Deep Learning,Self-Supervised Learning,SimCLR,2020,Chen et al.,High,Contrastive vision learning,,,,
Deep Learning,Self-Supervised Learning,MoCo,2020,He et al.,High,Contrastive representation learning,,,,
Deep Learning,Self-Supervised Learning,BYOL,2020,Grill et al.,High,Self-supervised vision learning,,,,
Deep Learning,Self-Supervised Learning,MAE (Masked Autoencoder),2021,He et al.,High,Masked image modeling,,,,
Generative Models,Autoencoder-based,Variational Autoencoder,2013,Kingma & Welling,High,Latent generative modeling,,,,
Generative Models,Autoencoder-based,Beta-VAE,2017,Higgins et al.,High,Disentangled representations,,,,
Generative Models,Autoencoder-based,Vector Quantized VAE,2017,van den Oord et al.,High,Discrete latent generation,,,,
Generative Models,Autoregressive,PixelRNN,2016,van den Oord et al.,High,Image generation,,,,
Generative Models,Autoregressive,PixelCNN,2016,van den Oord et al.,High,Image generation,,,,
Generative Models,Autoregressive,WaveNet,2016,van den Oord et al.,High,Audio generation,,,,
Generative Models,Autoregressive,Transformer Decoder LM,2018,GPT-style models,High,Text generation,,,,
Generative Models,Adversarial,GAN,2014,Goodfellow et al.,High,Image generation,,,,
Generative Models,Adversarial,Conditional GAN,2014,Mirza & Osindero,High,Conditional generation,,,,
Generative Models,Adversarial,DCGAN,2015,Radford et al.,High,Image generation,,,,
Generative Models,Adversarial,WGAN,2017,Arjovsky et al.,High,Stable GAN training,,,,
Generative Models,Adversarial,CycleGAN,2017,Zhu et al.,High,Image-to-image translation,,,,
Generative Models,Adversarial,Pix2Pix,2017,Isola et al.,High,Paired image translation,,,,
Generative Models,Adversarial,StyleGAN,2018,Karras et al.,High,High-quality images,,,,
Generative Models,Flow-based,Normalizing Flow,2018,Rezende & Mohamed / Dinh et al.,High,Exact likelihood generation,,,,
Generative Models,Flow-based,RealNVP,2017,Dinh et al.,High,Flow-based density estimation,,,,
Generative Models,Flow-based,Glow,2018,Kingma & Dhariwal,High,Flow-based image generation,,,,
Generative Models,Diffusion,Diffusion Model,2015,Sohl-Dickstein et al.,High,Generative modeling,,,,
Generative Models,Diffusion,DDPM,2020,Ho et al.,High,Denoising diffusion,,,,
Generative Models,Diffusion,Latent Diffusion,2022,Rombach et al.,High,Efficient image generation,,,,
Generative Models,Diffusion,Stable Diffusion,2022,CompVis,High,Text-to-image generation,,,,
Generative Models,Diffusion,DALL-E-style diffusion/decoder models,2021,OpenAI,High,Multimodal generation,,,,
Graph Machine Learning,Graph Algorithms,PageRank,1998,Page & Brin,Low,Ranking nodes,,,,
Graph Machine Learning,Graph Embeddings,DeepWalk,2014,Perozzi et al.,Medium,Node embeddings,,,,
Graph Machine Learning,Graph Embeddings,Node2Vec,2016,Grover & Leskovec,Medium,Flexible node embeddings,,,,
Graph Machine Learning,Graph Embeddings,LINE,2015,Tang et al.,Medium,Large graph embeddings,,,,
Graph Machine Learning,Graph Embeddings,GraphSAGE,2017,Hamilton et al.,High,Inductive graph embeddings,,,,
Graph Machine Learning,Graph Neural Networks,GCN,2017,Kipf & Welling,High,Graph node classification,,,,
Graph Machine Learning,Graph Neural Networks,GAT,2018,Veli_kovi_ et al.,High,Attention on graphs,,,,
Graph Machine Learning,Graph Neural Networks,GIN,2019,Xu et al.,High,Graph classification,,,,
Graph Machine Learning,Graph Neural Networks,Relational GCN,2018,Schlichtkrull et al.,High,Knowledge graphs,,,,
Graph Machine Learning,Graph Neural Networks,Graph Transformer,2021,Graph transformer literature,High,Long-range graph dependencies,,,,
Graph Machine Learning,Knowledge Graphs,TransE,2013,Bordes et al.,Medium,Knowledge graph embeddings,,,,
Graph Machine Learning,Knowledge Graphs,RotatE,2019,Sun et al.,High,Knowledge graph relations,,,,
Reinforcement Learning,Dynamic Programming,Value Iteration,1957,Bellman,Medium,Tabular RL planning,,,,
Reinforcement Learning,Dynamic Programming,Policy Iteration,1957,Bellman,Medium,Tabular RL planning,,,,
Reinforcement Learning,Model-free Value Methods,Monte Carlo Control,1951,Monte Carlo methods,Medium,Model-free episodic RL,,,,
Reinforcement Learning,Model-free Value Methods,Temporal Difference Learning,1988,Sutton,Medium,Bootstrapped RL,,,,
Reinforcement Learning,Model-free Value Methods,SARSA,1994,Rummery & Niranjan,Medium,On-policy RL,,,,
Reinforcement Learning,Model-free Value Methods,Q-Learning,1989,Watkins,Medium,Off-policy RL,,,,
Reinforcement Learning,Model-free Value Methods,Double Q-Learning,2010,van Hasselt,Medium,Reduced overestimation,,,,
Reinforcement Learning,Deep RL,Deep Q Network,2015,Mnih et al.,High,Game AI,,,,
Reinforcement Learning,Deep RL,Double DQN,2015,van Hasselt et al.,High,Improved DQN,,,,
Reinforcement Learning,Deep RL,Dueling DQN,2016,Wang et al.,High,Improved value decomposition,,,,
Reinforcement Learning,Deep RL,Prioritized Experience Replay,2016,Schaul et al.,High,Sample-efficient DQN,,,,
Reinforcement Learning,Policy Gradient,REINFORCE,1992,Williams,High,Policy optimization,,,,
Reinforcement Learning,Policy Gradient,Actor-Critic,1998,Konda & Tsitsiklis,High,Policy/value hybrid,,,,
Reinforcement Learning,Policy Gradient,A2C,2016,Synchronous actor-critic,High,Parallel RL,,,,
Reinforcement Learning,Policy Gradient,A3C,2016,Mnih et al.,High,Asynchronous RL,,,,
Reinforcement Learning,Policy Gradient,TRPO,2015,Schulman et al.,High,Trust region policy optimization,,,,
Reinforcement Learning,Policy Gradient,PPO,2017,Schulman et al.,High,Stable RL training,,,,
Reinforcement Learning,Policy Gradient,Deterministic Policy Gradient,2014,Silver et al.,High,Continuous control,,,,
Reinforcement Learning,Policy Gradient,DDPG,2016,Lillicrap et al.,High,Continuous action deep RL,,,,
Reinforcement Learning,Policy Gradient,TD3,2018,Fujimoto et al.,High,Improved continuous control,,,,
Reinforcement Learning,Policy Gradient,Soft Actor-Critic,2018,Haarnoja et al.,High,Entropy-regularized control,,,,
Reinforcement Learning,Model-based RL,Dyna-Q,1990,Sutton,Medium,Planning + learning,,,,
Reinforcement Learning,Model-based RL,MuZero,2019,Schrittwieser et al.,High,Planning without explicit rules,,,,
Reinforcement Learning,Bandits,Epsilon-Greedy,1952,Bandit algorithms,Low,Explore/exploit baseline,,,,
Reinforcement Learning,Bandits,UCB,2002,Auer et al.,Low,Bandit confidence bounds,,,,
Reinforcement Learning,Bandits,Thompson Sampling,1933,Thompson,Low,Bayesian bandits,,,,
Reinforcement Learning,Bandits,Contextual Bandits,1985,Bandit literature,Medium,Recommendations / ads,,,,
Meta-Learning & AutoML,Automated Model Search,Grid Search,1950,Classical hyperparameter search,Low,Hyperparameter tuning,,,,
Meta-Learning & AutoML,Automated Model Search,Random Search,2012,Bergstra & Bengio,Low,Hyperparameter tuning,,,,
Meta-Learning & AutoML,Automated Model Search,Bayesian Optimization,1998,Jones et al.,Medium,Efficient hyperparameter tuning,,,,
Meta-Learning & AutoML,Automated Model Search,Hyperband,2016,Li et al.,Medium,Resource-aware search,,,,
Meta-Learning & AutoML,Automated Model Search,BOHB,2018,Falkner et al.,High,Bayesian + Hyperband,,,,
Meta-Learning & AutoML,Meta-Learning,MAML,2017,Finn et al.,High,Few-shot adaptation,,,,
Meta-Learning & AutoML,Meta-Learning,Reptile,2018,Nichol et al.,High,Simplified meta-learning,,,,
Meta-Learning & AutoML,Neural Architecture Search,NAS,2017,Zoph & Le,High,Automatic architecture design,,,,
Meta-Learning & AutoML,Optimization,Stochastic Gradient Descent,1951,Robbins & Monro,Low,Core neural optimization,,,,
Meta-Learning & AutoML,Optimization,Momentum,1964,Polyak,Low,Faster optimization,,,,
Meta-Learning & AutoML,Optimization,AdaGrad,2011,Duchi et al.,Low,Adaptive optimization,,,,
Meta-Learning & AutoML,Optimization,RMSProp,2012,Hinton lecture notes,Low,Adaptive optimization,,,,
Meta-Learning & AutoML,Optimization,Adam,2014,Kingma & Ba,Low,Default deep learning optimizer,,,,
